
=================================================================
  ML ENSEMBLE CONFIGURATION (4 models)
=================================================================
  - logisticregression.pkl         | Weight: 0.25 | Type: classifier
  - xgbclassifier.pkl              | Weight: 0.25 | Type: classifier
  - ridge.pkl                      | Weight: 0.25 | Type: regressor
  - xgbregressor.pkl               | Weight: 0.25 | Type: regressor
=================================================================


=================================================================
  Trend Signal Engine — Quant Research Backtester
=================================================================
  Period        : 2024-01-01  →  2026-03-31
  Tickers       : 300
  Capital       : $100,000
  Max Positions : 10
  Holding       : 5 days
  Slippage      : 1.0 bps
  Commission    : $1.00 / trade
  Min |Signal|  : 0.01
  Signal Mode   : Single ML model
  Shorts        : ON
  Regime        : ON
  Sector Cap    : OFF
  Cross-section : TOP_LONGS=5  TOP_SHORTS=5  market_neutral=True
  Risk          : sizing=equal, max_pos=12%, stop=-3.0%
  [257/300] VMC… [257/300] VMC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [258/300] BK… [258/300] BK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [259/300] GIS… [259/300] GIS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [260/300] EMR… [260/300] EMR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [261/300] DPZ… [261/300] DPZ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [262/300] CTRA… [262/300] CTRA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [263/300] KHC… [263/300] KHC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [264/300] VRSK… [264/300] VRSK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [265/300] PSA… [265/300] PSA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [266/300] DHI… [266/300] DHI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [267/300] OMC… [267/300] OMC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [268/300] FSLR… [268/300] FSLR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [269/300] TRGP… [269/300] TRGP OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [270/300] CARR… [270/300] CARR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [271/300] NSC… [271/300] NSC OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [272/300] EW… [272/300] EW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [273/300] ROK… [273/300] ROK OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [274/300] FISV… [274/300] FISV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=837
  [275/300] FAST… [275/300] FAST OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [276/300] MLM… [276/300] MLM OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [277/300] HSY… [277/300] HSY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [278/300] ITW… [278/300] ITW OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [279/300] XEL… [279/300] XEL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [280/300] APA… [280/300] APA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [281/300] WAT… [281/300] WAT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [282/300] JBL… [282/300] JBL OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [283/300] PCAR… [283/300] PCAR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [284/300] ALB… [284/300] ALB OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [285/300] AIG… [285/300] AIG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [286/300] BBY… [286/300] BBY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [287/300] HPQ… [287/300] HPQ OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [288/300] DLTR… [288/300] DLTR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [289/300] DLR… [289/300] DLR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [290/300] AME… [290/300] AME OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [291/300] IBKR… [291/300] IBKR OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [292/300] DRI… [292/300] DRI OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [293/300] SPG… [293/300] SPG OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [294/300] OTIS… [294/300] OTIS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [295/300] SRE… [295/300] SRE OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [296/300] MOS… [296/300] MOS OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [297/300] CTVA… [297/300] CTVA OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [298/300] KEY… [298/300] KEY OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [299/300] CPRT… [299/300] CPRT OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [300/300] IQV… [300/300] IQV OHLCV window: first_date=2022-11-28, last_date=2026-04-01, n=838
  [signals 1/300] NVDA… 837 bars, 561 signals
  [signals 2/300] TSLA… 837 bars, 563 signals
  [signals 3/300] MU… 837 bars, 410 signals
  [signals 4/300] MSFT… 837 bars, 42 signals
  [signals 5/300] SNDK… 283 bars, 8 signals
  [signals 6/300] AAPL… 837 bars, 248 signals
  [signals 7/300] AVGO… 837 bars, 420 signals
  [signals 8/300] AMZN… 837 bars, 562 signals
  [signals 9/300] GOOGL… 837 bars, 561 signals
  [signals 10/300] META… 837 bars, 561 signals
  [signals 11/300] PLTR… 837 bars, 561 signals
  [signals 12/300] AMD… 837 bars, 559 signals
  [signals 13/300] GOOG… 837 bars, 561 signals
  [signals 14/300] LITE… 837 bars, 560 signals
  [signals 15/300] NFLX… 837 bars, 562 signals
  [signals 16/300] ORCL… 837 bars, 559 signals
  [signals 17/300] INTC… 837 bars, 560 signals
  [signals 18/300] XOM… 837 bars, 247 signals
  [signals 19/300] JPM… 837 bars, 248 signals
  [signals 20/300] VRT… 837 bars, 557 signals
  [signals 21/300] CVX… 837 bars, 562 signals
  [signals 22/300] CRM… 837 bars, 562 signals
  [signals 23/300] LLY… 837 bars, 301 signals
  [signals 24/300] COHR… 837 bars, 561 signals
  [signals 25/300] WMT… 837 bars, 563 signals
  [signals 26/300] WDC… 837 bars, 562 signals
  [signals 27/300] COIN… 837 bars, 559 signals
  [signals 28/300] UNH… 837 bars, 361 signals
  [signals 29/300] LRCX… 837 bars, 562 signals
  [signals 30/300] AMAT… 837 bars, 560 signals
  [signals 31/300] APP… 837 bars, 559 signals
  [signals 32/300] BAC… 837 bars, 269 signals
  [signals 33/300] V… 837 bars, 0 signals
  [signals 34/300] GEV… 504 bars, 228 signals
  [signals 35/300] GS… 837 bars, 562 signals
  [signals 36/300] HOOD… 837 bars, 558 signals
  [signals 37/300] JNJ… 837 bars, 250 signals
  [signals 38/300] CAT… 837 bars, 562 signals
  [signals 39/300] NOW… 837 bars, 559 signals
  [signals 40/300] GLW… 837 bars, 294 signals
  [signals 41/300] INTU… 837 bars, 461 signals
  [signals 42/300] CSCO… 837 bars, 561 signals
  [signals 43/300] COST… 837 bars, 563 signals
  [signals 44/300] BKNG… 837 bars, 526 signals
  [signals 45/300] CRWD… 837 bars, 562 signals
  [signals 46/300] C… 837 bars, 562 signals
  [signals 47/300] PG… 837 bars, 0 signals
  [signals 48/300] MA… 837 bars, 247 signals
  [signals 49/300] ADBE… 837 bars, 557 signals
  [signals 50/300] ACN… 837 bars, 505 signals
  [signals 51/300] QCOM… 837 bars, 560 signals
  [signals 52/300] GE… 837 bars, 357 signals
  [signals 53/300] DELL… 837 bars, 454 signals
  [signals 54/300] ABBV… 837 bars, 344 signals
  [signals 55/300] WFC… 837 bars, 562 signals
  [signals 56/300] BA… 837 bars, 414 signals
  [signals 57/300] KLAC… 837 bars, 560 signals
  [signals 58/300] IBM… 837 bars, 482 signals
  [signals 59/300] HD… 837 bars, 563 signals
  [signals 60/300] COP… 837 bars, 271 signals
  [signals 61/300] STX… 837 bars, 563 signals
  [signals 62/300] UBER… 837 bars, 423 signals
  [signals 63/300] LIN… 837 bars, 0 signals
  [signals 64/300] VZ… 837 bars, 562 signals
  [signals 65/300] APH… 837 bars, 424 signals
  [signals 66/300] ABT… 837 bars, 175 signals
  [signals 67/300] NEM… 837 bars, 525 signals
  [signals 68/300] AXP… 837 bars, 562 signals
  [signals 69/300] KO… 837 bars, 0 signals
  [signals 70/300] ADI… 837 bars, 248 signals
  [signals 71/300] PANW… 837 bars, 559 signals
  [signals 72/300] TXN… 837 bars, 295 signals
  [signals 73/300] RTX… 837 bars, 562 signals
  [signals 74/300] BX… 837 bars, 562 signals
  [signals 75/300] T… 837 bars, 563 signals
  [signals 76/300] MRK… 837 bars, 417 signals
  [signals 77/300] MS… 837 bars, 562 signals
  [signals 78/300] CIEN… 837 bars, 559 signals
  [signals 79/300] LMT… 837 bars, 293 signals
  [signals 80/300] OXY… 837 bars, 248 signals
  [signals 81/300] DIS… 837 bars, 560 signals
  [signals 82/300] FCX… 837 bars, 560 signals
  [signals 83/300] TMUS… 837 bars, 233 signals
  [signals 84/300] SMCI… 837 bars, 562 signals
  [signals 85/300] PFE… 837 bars, 563 signals
  [signals 86/300] CMCSA… 837 bars, 561 signals
  [signals 87/300] VLO… 837 bars, 248 signals
  [signals 88/300] TER… 837 bars, 561 signals
  [signals 89/300] COF… 837 bars, 562 signals
  [signals 90/300] TMO… 837 bars, 247 signals
  [signals 91/300] MCD… 837 bars, 0 signals
  [signals 92/300] PEP… 837 bars, 0 signals
  [signals 93/300] SLB… 837 bars, 562 signals
  [signals 94/300] BLK… 837 bars, 247 signals
  [signals 95/300] SNPS… 837 bars, 423 signals
  [signals 96/300] NEE… 837 bars, 562 signals
  [signals 97/300] SPGI… 837 bars, 245 signals
  [signals 98/300] AMGN… 837 bars, 344 signals
  [signals 99/300] ETN… 837 bars, 562 signals
  [signals 100/300] DAL… 837 bars, 552 signals
  [signals 101/300] GILD… 837 bars, 549 signals
  [signals 102/300] HON… 837 bars, 247 signals
  [signals 103/300] CEG… 837 bars, 421 signals
  [signals 104/300] ADP… 837 bars, 562 signals
  [signals 105/300] BSX… 837 bars, 246 signals
  [signals 106/300] PYPL… 837 bars, 560 signals
  [signals 107/300] PM… 837 bars, 173 signals
  [signals 108/300] CVNA… 837 bars, 560 signals
  [signals 109/300] UAL… 837 bars, 559 signals
  [signals 110/300] NKE… 837 bars, 560 signals
  [signals 111/300] ANET… 837 bars, 560 signals
  [signals 112/300] DVN… 837 bars, 562 signals
  [signals 113/300] BMY… 837 bars, 562 signals
  [signals 114/300] CF… 837 bars, 246 signals
  [signals 115/300] SCHW… 837 bars, 562 signals
  [signals 116/300] SATS… 837 bars, 561 signals
  [signals 117/300] WBD… 837 bars, 562 signals
  [signals 118/300] PH… 837 bars, 248 signals
  [signals 119/300] EOG… 837 bars, 248 signals
  [signals 120/300] KKR… 837 bars, 561 signals
  [signals 121/300] TGT… 837 bars, 561 signals
  [signals 122/300] RCL… 837 bars, 561 signals
  [signals 123/300] SBUX… 837 bars, 562 signals
  [signals 124/300] DE… 837 bars, 0 signals
  [signals 125/300] FDX… 837 bars, 559 signals
  [signals 126/300] F… 837 bars, 562 signals
  [signals 127/300] CCL… 837 bars, 561 signals
  [signals 128/300] ISRG… 837 bars, 265 signals
  [signals 129/300] VST… 837 bars, 424 signals
  [signals 130/300] DHR… 837 bars, 561 signals
  [signals 131/300] UPS… 837 bars, 560 signals
  [signals 132/300] SYK… 837 bars, 563 signals
  [signals 133/300] WDAY… 837 bars, 560 signals
  [signals 134/300] APO… 837 bars, 563 signals
  [signals 135/300] TJX… 837 bars, 0 signals
  [signals 136/300] UNP… 837 bars, 0 signals
  [signals 137/300] ELV… 837 bars, 360 signals
  [signals 138/300] MPC… 837 bars, 478 signals
  [signals 139/300] MDT… 837 bars, 0 signals
  [signals 140/300] CME… 837 bars, 0 signals
  [signals 141/300] CDNS… 837 bars, 423 signals
  [signals 142/300] FANG… 837 bars, 561 signals
  [signals 143/300] MCK… 837 bars, 410 signals
  [signals 144/300] LYB… 837 bars, 247 signals
  [signals 145/300] WELL… 837 bars, 563 signals
  [signals 146/300] BKR… 837 bars, 248 signals
  [signals 147/300] MMM… 837 bars, 547 signals
  [signals 148/300] VRTX… 837 bars, 317 signals
  [signals 149/300] MO… 837 bars, 563 signals
  [signals 150/300] MCO… 837 bars, 246 signals
  [signals 151/300] LOW… 837 bars, 0 signals
  [signals 152/300] PGR… 837 bars, 562 signals
  [signals 153/300] CRH… 837 bars, 247 signals
  [signals 154/300] PWR… 837 bars, 295 signals
  [signals 155/300] XYZ… 837 bars, 561 signals
  [signals 156/300] PSX… 837 bars, 247 signals
  [signals 157/300] ROST… 837 bars, 213 signals
  [signals 158/300] DASH… 837 bars, 560 signals
  [signals 159/300] EQIX… 837 bars, 192 signals
  [signals 160/300] TTD… 837 bars, 558 signals
  [signals 161/300] HAL… 837 bars, 561 signals
  [signals 162/300] DUK… 837 bars, 0 signals
  [signals 163/300] NOC… 837 bars, 545 signals
  [signals 164/300] GM… 837 bars, 561 signals
  [signals 165/300] CVS… 837 bars, 561 signals
  [signals 166/300] FIX… 837 bars, 558 signals
  [signals 167/300] MDLZ… 837 bars, 0 signals
  [signals 168/300] CB… 837 bars, 247 signals
  [signals 169/300] EXPE… 837 bars, 562 signals
  [signals 170/300] AMT… 837 bars, 348 signals
  [signals 171/300] HCA… 837 bars, 356 signals
  [signals 172/300] CL… 837 bars, 0 signals
  [signals 173/300] HWM… 837 bars, 248 signals
  [signals 174/300] PNC… 837 bars, 562 signals
  [signals 175/300] MPWR… 837 bars, 561 signals
  [signals 176/300] HLT… 837 bars, 0 signals
  [signals 177/300] MCHP… 837 bars, 411 signals
  [signals 178/300] EQT… 837 bars, 560 signals
  [signals 179/300] USB… 837 bars, 563 signals
  [signals 180/300] ADSK… 837 bars, 562 signals
  [signals 181/300] CMG… 837 bars, 561 signals
  [signals 182/300] JCI… 837 bars, 562 signals
  [signals 183/300] TT… 837 bars, 294 signals
  [signals 184/300] ORLY… 837 bars, 0 signals
  [signals 185/300] ICE… 837 bars, 246 signals
  [signals 186/300] SHW… 837 bars, 563 signals
  [signals 187/300] LHX… 837 bars, 0 signals
  [signals 188/300] DDOG… 837 bars, 558 signals
  [signals 189/300] KR… 837 bars, 517 signals
  [signals 190/300] AZO… 837 bars, 76 signals
  [signals 191/300] DOW… 837 bars, 247 signals
  [signals 192/300] WM… 837 bars, 421 signals
  [signals 193/300] ABNB… 837 bars, 562 signals
  [signals 194/300] NRG… 837 bars, 558 signals
  [signals 195/300] SO… 837 bars, 0 signals
  [signals 196/300] NXPI… 837 bars, 421 signals
  [signals 197/300] MRSH… 837 bars, 111 signals
  [signals 198/300] ZTS… 837 bars, 491 signals
  [signals 199/300] ULTA… 837 bars, 561 signals
  [signals 200/300] AEP… 837 bars, 0 signals
  [signals 201/300] CSX… 837 bars, 362 signals
  [signals 202/300] MSI… 837 bars, 247 signals
  [signals 203/300] KEYS… 837 bars, 562 signals
  [signals 204/300] KMB… 837 bars, 101 signals
  [signals 205/300] MAR… 837 bars, 248 signals
  [signals 206/300] FITB… 837 bars, 563 signals
  [signals 207/300] LULU… 837 bars, 560 signals
  [signals 208/300] ROP… 837 bars, 419 signals
  [signals 209/300] MNST… 837 bars, 411 signals
  [signals 210/300] URI… 837 bars, 563 signals
  [signals 211/300] LYV… 837 bars, 561 signals
  [signals 212/300] DG… 837 bars, 563 signals
  [signals 213/300] CMI… 837 bars, 247 signals
  [signals 214/300] CI… 837 bars, 561 signals
  [signals 215/300] AJG… 837 bars, 560 signals
  [signals 216/300] FTNT… 837 bars, 561 signals
  [signals 217/300] NCLH… 837 bars, 559 signals
  [signals 218/300] EA… 837 bars, 562 signals
  [signals 219/300] ARES… 837 bars, 560 signals
  [signals 220/300] AKAM… 837 bars, 559 signals
  [signals 221/300] WMB… 837 bars, 294 signals
  [signals 222/300] TDG… 837 bars, 340 signals
  [signals 223/300] COR… 837 bars, 38 signals
  [signals 224/300] PLD… 837 bars, 248 signals
  [signals 225/300] TEL… 837 bars, 246 signals
  [signals 226/300] CTAS… 837 bars, 317 signals
  [signals 227/300] AXON… 837 bars, 561 signals
  [signals 228/300] KMI… 837 bars, 294 signals
  [signals 229/300] MRNA… 837 bars, 560 signals
  [signals 230/300] ECL… 837 bars, 0 signals
  [signals 231/300] EL… 837 bars, 563 signals
  [signals 232/300] EXC… 837 bars, 0 signals
  [signals 233/300] FICO… 837 bars, 558 signals
  [signals 234/300] REGN… 837 bars, 561 signals
  [signals 235/300] OKE… 837 bars, 561 signals
  [signals 236/300] HBAN… 837 bars, 562 signals
  [signals 237/300] AON… 837 bars, 480 signals
  [signals 238/300] HPE… 837 bars, 563 signals
  [signals 239/300] GD… 837 bars, 341 signals
  [signals 240/300] TRV… 837 bars, 247 signals
  [signals 241/300] EBAY… 837 bars, 560 signals
  [signals 242/300] ODFL… 837 bars, 561 signals
  [signals 243/300] KVUE… 729 bars, 143 signals
  [signals 244/300] EXE… 837 bars, 561 signals
  [signals 245/300] TFC… 837 bars, 562 signals
  [signals 246/300] ON… 837 bars, 559 signals
  [signals 247/300] PCG… 837 bars, 304 signals
  [signals 248/300] LUV… 837 bars, 560 signals
  [signals 249/300] BDX… 837 bars, 562 signals
  [signals 250/300] O… 837 bars, 0 signals
  [signals 251/300] PAYX… 837 bars, 191 signals
  [signals 252/300] CTSH… 837 bars, 39 signals
  [signals 253/300] CAH… 837 bars, 0 signals
  [signals 254/300] RF… 837 bars, 562 signals
  [signals 255/300] APD… 837 bars, 562 signals
  [signals 256/300] TTWO… 837 bars, 535 signals
  [signals 257/300] VMC… 837 bars, 0 signals
  [signals 258/300] BK… 837 bars, 562 signals
  [signals 259/300] GIS… 837 bars, 0 signals
  [signals 260/300] EMR… 837 bars, 563 signals
  [signals 261/300] DPZ… 837 bars, 563 signals
  [signals 262/300] CTRA… 837 bars, 562 signals
  [signals 263/300] KHC… 837 bars, 0 signals
  [signals 264/300] VRSK… 837 bars, 414 signals
  [signals 265/300] PSA… 837 bars, 0 signals
  [signals 266/300] DHI… 837 bars, 547 signals
  [signals 267/300] OMC… 837 bars, 562 signals
  [signals 268/300] FSLR… 837 bars, 558 signals
  [signals 269/300] TRGP… 837 bars, 248 signals
  [signals 270/300] CARR… 837 bars, 355 signals
  [signals 271/300] NSC… 837 bars, 248 signals
  [signals 272/300] EW… 837 bars, 563 signals
  [signals 273/300] ROK… 837 bars, 541 signals
  [signals 274/300] FISV… 836 bars, 558 signals
  [signals 275/300] FAST… 837 bars, 0 signals
  [signals 276/300] MLM… 837 bars, 0 signals
  [signals 277/300] HSY… 837 bars, 0 signals
  [signals 278/300] ITW… 837 bars, 0 signals
  [signals 279/300] XEL… 837 bars, 522 signals
  [signals 280/300] APA… 837 bars, 560 signals
  [signals 281/300] WAT… 837 bars, 561 signals
  [signals 282/300] JBL… 837 bars, 561 signals
  [signals 283/300] PCAR… 837 bars, 422 signals
  [signals 284/300] ALB… 837 bars, 562 signals
  [signals 285/300] AIG… 837 bars, 246 signals
  [signals 286/300] BBY… 837 bars, 268 signals
  [signals 287/300] HPQ… 837 bars, 331 signals
  [signals 288/300] DLTR… 837 bars, 558 signals
  [signals 289/300] DLR… 837 bars, 530 signals
  [signals 290/300] AME… 837 bars, 415 signals
  [signals 291/300] IBKR… 837 bars, 265 signals
  [signals 292/300] DRI… 837 bars, 132 signals
  [signals 293/300] SPG… 837 bars, 248 signals
  [signals 294/300] OTIS… 837 bars, 247 signals
  [signals 295/300] SRE… 837 bars, 274 signals
  [signals 296/300] MOS… 837 bars, 562 signals
  [signals 297/300] CTVA… 837 bars, 561 signals
  [signals 298/300] KEY… 837 bars, 563 signals
  [signals 299/300] CPRT… 837 bars, 391 signals
  [signals 300/300] IQV… 837 bars, 355 signals
Phase 1: Reusing pre-loaded data & signals…

Phase 2: Detecting market regimes (SPY + VIX)…
  Regimes: {'Bull': 480, 'Crisis': 15, 'Sideways': 56, 'Bear': 14}

Phase 3: Running day-by-day portfolio simulation…
Phase 4: Computing metrics…


Trade-level diagnostics:
  Avg P&L per long trade    :  98.65
  Avg P&L per short trade   :  nan
  Avg transaction cost / |P&L|:  14.74%
  Fraction of trades that are shorts:  0.00%
  P&L contribution:
    Longs  :  14896.22
    Shorts :  0.00
    Costs  : -1081.07  (negative = drag)

Sharpe by regime (daily equity):
  Bull    :  1.32
  Bear    : -5.09
  Sideways: -0.94
  Crisis  : -4.10
  Overall:  1.16
  CAPM (vs SPY):
    Portfolio Beta     : 0.092
    Portfolio Alpha    : 6.42% (ann.)
    Treynor Ratio      : 0.422
    Information Ratio : 0.398

  Position Sizing Comparison:
    Equal-weight Sharpe  : 1.161
    Kelly (half) Sharpe  : 1.161
    Kelly win_rate used  : —
    Kelly fraction       : 0.5
    Kelly avg position   : 11.8% of equity


=================================================================
  Backtest Results
=================================================================

  Total Trades            : 151
    Bullish                : 151
    Bearish                : 0

  Win Rate                : 43.7%
  Average Return          : 1.03%
  Profit Factor           : 1.47
  Sharpe Ratio            : 1.16
  Net Sharpe Ratio        : 1.16
    95% CI                : [-0.17, 2.45]
  Sortino Ratio           : 2.00
    95% CI                : [-0.15, 2.67]
  Calmar Ratio            : 1.60
    95% CI                : [-0.13, 5.27]
  Max Drawdown            : -4.96%
  Max DD Duration (days)  : 251
  Avg Drawdown            : -1.49%
  Avg DD Duration (days)  : 40.4

  Annual Turnover (old)  : 60.10
  Avg Daily Turnover      : 0.03
  Annual Turnover         : 7.17
  Turnover Cost Drag (bps): 43.4
  Turnover (shares-based): 19.51
  Position changes / avg positions held: 319.56
  Turnover (trades_per_year*avg_position_size): 7.16
  Signal Accuracy         : 43.7%
  Information Coefficient : -0.1737
  Rank IC (Spearman)      : -0.1737

  Avg Holding (days)      : 5.3
  Med Holding (days)      : 7.0
  Min / Max Holding       : 1 / 10

  Starting Capital        : $    100,000.00
  Final Capital           : $    118,664.10
  Total PnL               : $     14,896.22
  Total Return            : 18.66%
  Gross Return (pre-cost)  : 19.75%
  Net Return (after cost)  : 18.66%
  Total Transaction Costs  : $      1,081.07
  Average Cost per Trade   : $          7.16

  Bullish Win Rate        : 43.7%
  Bullish Avg Return      : 1.03%


============================================================
  BACKTEST RESULTS SUMMARY
============================================================
  Sharpe Ratio         : 1.161
  Net Sharpe Ratio     : 1.158
  Sortino Ratio        : 2.000
  CAGR                 : 7.92%
  Max Drawdown         : -4.96%
  Win Rate             : 43.7%
  Trades per Year      : 67
  Annual Turnover      : 717%
  Est. Cost Drag (ann) : 0.43%
  Long P&L contrib     : 14.90%
  Short P&L contrib    : 0.00%
============================================================

============================================================
  INSTITUTIONAL ALPHA ANALYSIS (HELD-TO-EXPIRY)
============================================================
  Expiry Win Rate:  81.5%  (exit_reason == 'expiry' only)
  Avg Expiry Return: +4.482%
  Sample Size: 81 expiry trades (of 151 total)

  EXIT REASON BREAKDOWN
  expiry               : 81
  stop_loss            : 67
  bear_regime_drawdown : 3

  STOP LOSS / EXPIRY REALIZED STATS
  Stop loss pct        : 44.4%
  Stopped avg return   : -3.010%
  Expiry avg return    : +4.482%
  Expiry win rate      : 81.5%

  CLEAN PRE-2024 ANALYSIS (REALIZED EXPIRY)
  Sample Size (n)      : 0
  Win Rate             : 0.0%
  95% Conf. Interval   : [0.0%, 100.0%]
  p-value vs 50% null  : 1.00e+00
  p-value vs 70% null  : 1.00e+00
  p-value vs 80% null  : 1.00e+00

  ALL TRADES (ILLUSTRATIVE)
  p-value vs 50% null  : 9.48e-01
  p-value vs 60% null  : 1.00e+00
  p-value vs 70% null  : 1.00e+00
  95% Conf. Interval   : [35.8%, 51.6%]

  REGIME ROBUSTNESS (EXPIRY WIN RATE)
  Bull                 : 82.3% (n=79)
  Bear                 : 0.0% (n=0)
  Sideways             : 50.0% (n=2)
  Crisis               : 0.0% (n=0)

  YEAR-BY-YEAR PERSISTENCE
  2024: 84.4% | 2025: 76.7% | 2026: 83.3%
============================================================

============================================================
  ADVANCED STATISTICAL AUDIT & RIGOR DIAGNOSTICS
============================================================
  INFORMATION RATIO DECOMPOSITION (Grinold)
  IC (Daily mean)      : -0.1737
  Effective Breadth    : 18.2 independent bets/yr
  Predicted IR         : -0.741
  Realized IR (t-stat) : -1.088

  SHARPE SIGNIFICANCE (Lo 2002 Correction)
  T-statistic          : 14.165
  Significant (>1.96)  : YES
  Probabilistic Sharpe : 100.0%

  WIN RATE MLE (BETA-BINOMIAL POSTERIOR)
  MAP Estimate         : 81.5%
  95% Credible Int.    : [71.6%, 88.4%]
  P(True WR > 70%)     : 98.8%

  AUTOCORRELATION ADJUSTMENT (Newey-West)
  Standard Sharpe      : 1.157
  HAC-Adjusted Sharpe  : 1.158
  Inflation Factor     : 1.00x

  CONSERVATIVE KELLY (Bootstrap)
  Kelly Mean           : 15.6%
  Kelly 25th Ptile     : 10.6% (Recommended)
  Kelly 5th Ptile      : 1.0%

  FAMA-FRENCH ATTRIBUTION : [Skipped/No Internet]
============================================================

  Trades CSV  → output/backtests/trades.csv
  Equity CSV  → output/backtests/daily_equity.csv
  Equity plot → output/backtests/equity_curve.png
  Regime plot → output/backtests/regime_returns.png
  Pos. count  → output/backtests/position_count.png
  Experiment snapshot → output/experiments/20260402_224823

=================================================================
  OUTPUTS PRODUCED
=================================================================
  Result    : 151 trades  |  Sharpe 1.161  |  Return 18.66%

  → output/backtests/latest_summary.txt
  → output/experiments/20260402_224823
  → output/backtests/trades.csv
  → output/backtests/daily_equity.csv
  → output/backtests/equity_curve.png
  → output/backtests/regime_returns.png
  → output/backtests/position_count.png
=================================================================
  Backtest complete.
=================================================================
